,,,PROC-ACT-001,,,,
,,,Check List Operativo Pozo de Bombeo,,,,
,,,Proyecto,PTAR Tropack,,Afluente,Industrial
,,,Capacidad,2500,m3/d,Ubicación,Tropack
,,,,,,,
Información General,,,,,,,
,,,,,,,
Sistema,Lodos Activos,,,Reportado por,,,
Proveedor,South Ecuameridian S.A.,,,Fecha de inspección,,,
Cliente,Tropack,,,Versión,,0,
,,,,,,,
Cuadro de Inspección Operativa - Pozo de Bombeo,,,,,,,
,,,,,,,
Elemento,,Actividad,,,Estado,Observación,
Cámara de Canastilla,,Verificar el nivel de agua en la cámara (Evitar rebose),,,,,
,,Verificar que la canastilla no este saturada de sólidos,,,,,
,,"Verificar estado de cadenas de izaje (Corrosión, colmatación)",,,,,
,,"Verificar estado de estructura para izaje (Corrosión, deformación)",,,,,
,,Verificar anclaje y sujeción de elementos,,,,,
Cámara de Bombas,,Verificar el nivel de agua en la cámara (Evitar rebose),,,,,
,,Verificar que la cámara no este saturada de sólidos,,,,,
,,"Verificar estado y niveles de boyas (Niveles, deformación, fisuras)",,,,,
,,"Verificar estado de cadenas y tubos guías (Corrosión, colmatación)",,,,,
,,Verificar estado de cableado de equipos (Bombas / Boyas),,,,,
,,Verificar anclaje y sujeción (Bombas/Boyas/Tuberías),,,,,
,,Verificar estado de conexiones hidraulicas (Evitar fugas),,,,,
,,Verificar que no haya ruidos y vibraciones anormales,,,,,
,,Verificar encendido y apagado de bombas de acuerdo a nivel,,,,,
,,Verificar alternancia de bombas ,,,,,
,,Verificar que no haya alarmas en el tablero (Correcto automatismo),,,,,
Cámara de Válvulas,,Verificar que la válvula de compuerta este abierta,,,,,
,,Verificar que no haya retorno de flujo (válvula check),,,,,
,,Verificar que las juntas bridadas esten bien ajustadas y completos,,,,,
,,Verificar estado de conexiones hidraulicas (Evitar fugas),,,,,
,,Verificar que no haya ruidos y vibraciones anormales (Cavitación),,,,,
,,,,,,,
Novedades,,,,,Recomendaciones,,
